,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
244,"1622561377.9659367,",211684020,0,0.0,1,51.964153333333336,4.094463333333334,22.299999237060547,113,38
245,"1622561378.0702586,",249522000,10,9.600000381469728,1,51.968066666666665,4.087416666666667,42.0,46,38
246,"1622561378.1515322,",247604000,1,0.0,0,51.93785333333334,3.802095,120.0,63,36
247,"1622561378.949852,",305149000,0,5.5,0,51.97131,4.100145,113.0,115,39
248,"1622561379.166566,",244287000,0,25.799999237060547,1,51.97348333333333,4.121316666666667,32.0,40,37
249,"1622561379.4683607,",244697000,0,0.0,0,51.95146666666667,4.14415,149.0,40,38
250,"1622561379.485332,",246046000,1,0.5,0,51.95838166666667,3.808258333333333,26.5,65,38
251,"1622561379.6851425,",244353000,5,0.0,0,51.913225,4.239751666666667,297.3999938964844,300,37
252,"1622561379.8334525,",215830000,5,0.0,1,51.94411166666666,4.127786666666666,359.5,0,39
253,"1622561380.0511642,",255806165,5,0.0,1,51.94990333333333,4.066436666666666,223.0,258,39
254,"1622561380.5906942,",314416000,0,11.699999809265137,0,52.011428333333335,4.000318333333333,299.20001220703125,299,40
255,"1622561381.0567386,",245617000,7,8.100000381469727,1,51.86047166666667,3.9174816666666663,10.0,14,30
256,"1622561381.48696,",205565000,0,0.0,0,51.960985,4.140711666666666,266.5,353,60
257,"1622561381.697311,",249491000,0,0.0,0,51.95141666666667,4.144316666666667,131.0,219,41
258,"1622561381.7237334,",249040000,0,8.5,1,51.972323333333335,4.096473333333333,83.0,88,38
259,"1622561381.9394522,",244120000,0,10.699999809265137,1,52.070656666666665,4.116256666666667,245.3000030517578,246,41
260,"1622561382.4867747,",244013210,0,0.0,1,51.976843333333335,4.125675,22.0,210,41
261,"1622561382.497341,",244042000,0,3.299999952316284,1,51.920748333333336,3.961258333333333,51.20000076293945,45,42
262,"1622561382.5079937,",304068000,0,0.0,0,51.922785,4.217233333333334,89.80000305175781,38,43
263,"1622561382.6343625,",244030516,0,4.900000095367432,1,51.93960833333333,4.0855266666666665,103.9000015258789,103,42
264,"1622561382.734465,",250005693,0,7.099999904632568,1,51.96883,4.134063333333334,127.3000030517578,125,41
265,"1622561382.745048,",248753000,0,9.300000190734863,0,51.967325,4.113935,120.4000015258789,117,41
266,"1622561382.7777429,",248753000,0,9.300000190734863,0,51.967325,4.113935,120.4000015258789,117,41
267,"1622561382.8732767,",244407000,0,0.0,1,51.976661666666665,4.1255,180.0,208,41
